date,value
18/08/2014,576.11258
15/08/2014,577.862619
14/08/2014,576.182596
13/08/2014,567.312567
12/08/2014,564.522567
11/08/2014,569.992585
08/08/2014,563.562536
07/08/2014,568.00257
06/08/2014,561.782569
05/08/2014,570.052564
04/08/2014,569.042592
01/08/2014,570.402584
31/07/2014,580.602616
30/07/2014,586.55265
29/07/2014,588.752653
28/07/2014,588.072688
25/07/2014,590.402686
24/07/2014,596.452725
23/07/2014,593.232713
22/07/2014,590.722655
21/07/2014,591.752702
18/07/2014,593.002712
17/07/2014,579.532604
16/07/2014,588.002671
15/07/2014,585.742628
14/07/2014,582.602608
11/07/2014,571.912585
10/07/2014,565.912548
09/07/2014,571.582578
08/07/2014,577.662607
07/07/2014,583.76265
03/07/2014,583.352651
02/07/2014,583.352651
01/07/2014,578.32262
30/06/2014,578.662603
27/06/2014,577.182592
26/06/2014,581.002639
25/06/2014,565.262572
24/06/2014,565.192556
23/06/2014,555.152509
20/06/2014,556.852545
19/06/2014,554.242482
18/06/2014,544.862448
17/06/2014,544.202435
16/06/2014,549.262515
13/06/2014,552.262503
12/06/2014,557.302509
11/06/2014,558.002549
10/06/2014,560.512546
09/06/2014,557.152501
06/06/2014,558.062528
05/06/2014,546.402499
04/06/2014,541.502464
03/06/2014,550.99248
02/06/2014,560.70252
30/05/2014,560.802526
29/05/2014,563.352549
28/05/2014,564.57257
27/05/2014,556.002496
23/05/2014,547.262462
22/05/2014,541.132431
21/05/2014,532.902401
20/05/2014,529.742368
19/05/2014,519.702382
16/05/2014,521.39238
15/05/2014,525.702357
14/05/2014,533.002407
13/05/2014,530.892433
12/05/2014,523.512391
09/05/2014,510.752299
08/05/2014,508.462297
07/05/2014,515.792305
06/05/2014,525.232379
05/05/2014,524.822381
02/05/2014,533.762426
01/05/2014,527.112413
30/04/2014,527.602405
29/04/2014,516.902344
28/04/2014,517.182348
25/04/2014,522.512395
24/04/2014,530.072374
23/04/2014,533.792415
22/04/2014,528.642366
21/04/2014,536.1024
17/04/2014,548.81249
16/04/2014,543.002488
15/04/2014,536.822454
14/04/2014,538.252462
11/04/2014,532.552381
10/04/2014,565.002582
09/04/2014,559.622532
08/04/2014,542.602466
07/04/2014,540.742445
04/04/2014,574.652582
03/04/2014,569.852553
02/04/2014,599.992707
01/04/2014,558.712504
31/03/2014,566.892592
